reaction_id	reaction_type	reactants	products	modifiers
re61	Heterodimer association	20765:TLR9;21624:CpG_DNA	20823:CpG_DNA/TLR9	
re2	Heterodimer association	20523:IFNAR;21594:IFNA	21084:IFNA/IFNAR	
re727	Transcription	21443:CCL19	21535:CCL19	21528:NFKB2/RELB
re788	State transition	21362:GBP6	21009:GBP6	
re644	Physical stimulation	20964:IFIT1	21541:Inflammation	
re103	Transport	21426:TOX	21665:TOX	
re203	Transcription	21385:IRF9	21317:IRF9	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re640	Physical stimulation	20684:IFITM1	21541:Inflammation	
re160	Transcription	21247:HLA-B	21384:HLA-B	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re180	State transition	21438:IFITM2	20888:IFITM2	
re656	Physical stimulation	21091:TRIM34	21541:Inflammation	
re260	State transition	21353:TRIM5	21011:TRIM5	
re641	Physical stimulation	20888:IFITM2	21541:Inflammation	
re136	Transcription	21447:ISG20	21515:ISG20	21485:STAT1/STAT2/IRF9
re777	State transition	21391:BST2	20588:BST2	
re646	Physical stimulation	21057:IFIT3	21541:Inflammation	
re789	Negative influence	21324:RRM2	21552:Apoptosis	
re236	Transcription	21315:MT2A	21298:MT2A	21240:STAT1 homodimer
re107	Heterodimer association	20880:IL12R;21619:IL12	20816:IL12/IL12R	
re62	Transport	21008:IRF3	21370:IRF3	
re5	Heterodimer association	20649:IRF9;21015:STAT1/STAT2	21047:STAT1/STAT2/IRF9	
re372	Transport	21588:dsRNA/polyIC	20526:dsRNA	
re166	State transition	21479:ADAR	21167:ADAR	
re799	State transition	21377:FAS	20832:FAS	
re528	Transcription	21450:PSME2	21507:PSME2	21366:STAT4 homodimer
re87	Transport	21263:IFNB1	21635:IFNB1	
re520	Transport	21539:TRIM21	21664:TRIM21	
re766	Transcription	21408:SESN1	21363:SESN1	21233:TP53
re252	Physical stimulation	20751:OASL	21541:Inflammation	
re624	State transition	21365:LAMP3	21461:LAMP3	21485:STAT1/STAT2/IRF9
re60	Heterodimer association	20635:TLR3;21588:dsRNA/polyIC	20655:TLR3/dsRNA/PolyIC	
re248	Transcription	21359:GBP3	21360:GBP3	21240:STAT1 homodimer
re267	Translation	21321:NCAM1	20779:NCAM1	
re653	Physical stimulation	21142:TRIM6	21541:Inflammation	
re519	Transport	21480:TNFSF13B	21667:TNFSF13B	
re734	Physical stimulation	21492:ICAM1	21553:T_Cell_Activation/Differentiation	
re239	Transcription	21345:GBP6	21362:GBP6	21240:STAT1 homodimer
re262	State transition	21325:TRIM14	20546:TRIM14	
re643	Physical stimulation	20876:IFI6	21541:Inflammation	
re240	Transcription	21248:TRIM5	21353:TRIM5	21240:STAT1 homodimer
re151	Transcription	21342:IFITM2	21438:IFITM2	21485:STAT1/STAT2/IRF9
re515	Transport	21311:CCL2	21641:CCL2	
re56	Heterodimer association	20857:TLR7;21566:ssRNA	20943:TLR7/ssRNA	20954:LAMP3
re642	Physical stimulation	21079:IFITM3	21541:Inflammation	
re11	Transport	20569:STAT1 homodimer	21240:STAT1 homodimer	
re165	State transition	21515:ISG20	20840:ISG20	
re853	Physical stimulation	20584:GLUT1	21546:B_Cell_Activation/Survival	
re65	State transition	20708:IKBKE/TBK1	20551:IKBKE/TBK1	20929:TRAF3
re179	State transition	21429:IFITM1	20684:IFITM1	
re648	Physical stimulation	20694:IFI35	21541:Inflammation	
re867	Transcription	21355:MDM2	21415:MDM2	21233:TP53
re46	Physical stimulation	21528:NFKB2/RELB	21547:Lymphoid_organ_development	
re246	Transcription	21516:TRIM34	21281:TRIM34	21240:STAT1 homodimer
re79	Heterodimer association	20523:IFNAR;21615:IFNB1	21220:IFNB/IFNAR	
re325	Heterodimer association	21166:XCR1;21561:XCL1	20753:XCL1-XCL2/XCR1	
re214	Physical stimulation	20568:HLA-H	21551:MHC_Class_1_Activation	
re161	Transcription	21259:HLA-C	21524:HLA-C	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re140	Transcription	21432:OAS2	21437:OAS2	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re652	Physical stimulation	21011:TRIM5	21541:Inflammation	
re233	Transcription	21433:SP100	21477:SP100	21240:STAT1 homodimer
re668	Transport	21318:CXCL9	21645:CXCL9	
re851	Heterodimer association	21166:XCR1;21627:XCL2	20753:XCL1-XCL2/XCR1	
re667	Physical stimulation	20514:LMNB1	21552:Apoptosis	
re767	Transcription	21292:RRM2	21324:RRM2	21233:TP53
re247	Transcription	21498:GBP1	21299:GBP1	21240:STAT1 homodimer
re836	State transition	21328:CD80,86	21215:CD80,86	
re220	Transcription	21414:HLA-DQA1	21448:HLA-DQA1	21240:STAT1 homodimer
re231	Transcription	21339:NCAM1	21321:NCAM1	21240:STAT1 homodimer
re742	Transport	21284:VCAM1	21661:VCAM1	
re81	State transition	20938:STAT1	21066:STAT1	20841:HDAC3
re616	State transition	21210:CASP8	20809:CASP8	20667:FADD;21224:CFLAR
re669	Transport	21262:CXCL10	21658:CXCL10	
re618	Physical stimulation	20901:CASP7	21552:Apoptosis	
re57	Heterodimer association	21216:TLR8;21566:ssRNA	21163:TLR8/ssRNA	
re782	State transition	21474:CISH	21204:CISH	
re219	Transcription	21411:HLA-DRA	21327:HLA-DRA	21240:STAT1 homodimer
re77	State transition	20861:TYK2	20609:TYK2	20625:SOCS1;20638:SOCS3;20816:IL12/IL12R;20886:SOCS2;21084:IFNA/IFNAR;21220:IFNB/IFNAR
re264	State transition	21323:TRIM22	20634:TRIM22	
re798	Transcription	21343:FAS	21377:FAS	21233:TP53
re792	Transcription	21409:RIPK1	21300:RIPK1	21485:STAT1/STAT2/IRF9
re529	Transcription	21386:LMNB1	21387:LMNB1	21366:STAT4 homodimer
re152	Transcription	21472:IFITM3	21503:IFITM3	21485:STAT1/STAT2/IRF9
re823	Physical stimulation	21245:ISG15	21541:Inflammation	
re78	State transition	20749:JAK2	21042:JAK2	20625:SOCS1;20638:SOCS3;20816:IL12/IL12R;20886:SOCS2;21020:IL6/IL6R;21206:IFNG/IFNGR
re173	State transition	21285:IFI35	20694:IFI35	
re635	Transcription	21490:CXCL10	21262:CXCL10	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re830	Transcription	21242:GLUT1	21301:GLUT1	
re554	Transcription	21331:SOCS3	21280:SOCS3	21485:STAT1/STAT2/IRF9
re794	State transition	21300:RIPK1	20828:RIPK1	
re708	State transition	21149:MAPK11,12,13,14	21133:MAPK11,12,13,14	20823:CpG_DNA/TLR9;20937:MAP2K3;21143:MAP2K6
re371	State transition	21068:RIGI	20991:RIGI	20526:dsRNA;20666:TRIM25;20902:ISG15;21118:UBE2L6
re532	State transition	21404:ARF1	20877:ARF1	
re167	State transition	21245:ISG15	20902:ISG15	
re210	Physical stimulation	20931:HLA-A	21551:MHC_Class_1_Activation	
re778	State transition	21397:MX1	20972:MX1	
re204	State transition	21346:IRF7	20636:IRF7	
re578	State transition	20858:RAF	20804:RAF	20790:RRAS
re336	Heterodimer association	20865:CCRL2;21567:CCL19	20984:CCL19/CCRL2	
re842	State transition	21376:HLA-A	20931:HLA-A	
re181	State transition	21503:IFITM3	21079:IFITM3	
re594	Heterodimer association	20725:TNFRSF1A;21571:TNF	21145:TNF/TNFR1	
re211	Physical stimulation	20570:HLA-B	21551:MHC_Class_1_Activation	
re785	State transition	21360:GBP3	20693:GBP3	
re673	Heterodimer association	20821:CXCR3;21622:CXCL11	20976:CXCL9-10-11/CXCR3	
re217	State transition	21240:STAT1 homodimer	21497:STAT1 homodimer	21314:PTPN2
re284	Transport	20530:PTPN2	21314:PTPN2	
re601	State transition	21134:SMAD2/SMAD3	20668:SMAD2/SMAD3	20781:TGF/TGFBR1
re839	State transition	21327:HLA-DRA	20757:HLA-DRA	
re138	Transcription	21336:ISG15	21245:ISG15	21485:STAT1/STAT2/IRF9
re868	State transition	21415:MDM2	21040:MDM2	
re772	Transport	21178:TP53	21233:TP53	
re82	State transition	21066:STAT1	21083:STAT1	20609:TYK2;21012:JAK1
re249	Physical stimulation	21072:OAS1	21541:Inflammation	
re86	Transport	21532:IFNA	21653:IFNA	
re241	Transcription	21441:TRIM6	21348:TRIM6	21240:STAT1 homodimer
re757	State transition	20695:MAX	21218:MAX	21133:MAPK11,12,13,14
re747	Transport	21535:CCL19	21659:CCL19	
re216	State transition	21303:IFI30	20559:IFI30	
re865	Transport	21341:CCL3	21669:CCL3	
re678	State transition	21094:IRF1	20639:IRF1	
re254	Physical stimulation	20840:ISG20	21541:Inflammation	
re571	State transition	20930:RRAS	20790:RRAS	20678:SOS2
re209	State transition	21456:IFIT1	20964:IFIT1	
re269	State transition	21477:SP100	20700:SP100	
re150	Transcription	21481:IFITM1	21429:IFITM1	21485:STAT1/STAT2/IRF9
re285	State transition	20530:PTPN2	20822:PTPN2	20780:EIF2AK2 homodimer
re631	Physical stimulation	21382:CD40	21553:T_Cell_Activation/Differentiation	
