node_id	node_name	node_type	compartment_id	role	rule	confidence	plausibility_score	source
20615	IgE/FCERI	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20620	HERC5	Protein	20513	core	R6c	MEDIUM	75	ISG E3 ligase ISGylation PMID:16275642
20624	MAP3K1	Protein	20513	core	R6c	MEDIUM	75	MEKK1
20625	SOCS1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20626	GBP1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20627	GNAI	Protein	20513	core	R6c	LOW	70	Gαi ubiquitous
20628	IL6R	Complex	20513	core	R6c	MEDIUM	75	IL-6R; KEGG:hsa04630
20629	IL6RA	Protein	20513	core	R6c	MEDIUM	75	IL-6Rα
20630	IL6ST	Protein	20513	core	R6c	MEDIUM	75	gp130 ubiquitous
20631	CXCL12/CXCR4	Complex	20513	core	R6c	LOW	70	SDF-1/CXCR4
20633	CXCR4	Protein	20513	core	R6c	LOW	72	Ubiquitous SDF-1R
20634	TRIM22	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20637	STAT5 homodimer	Protein	20513	core	R6c	MEDIUM	78	KEGG:hsa04630; PMID:9590175 STAT5 lymphoid
20638	SOCS3	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20639	IRF1	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20641	IL7R	Complex	20513	core	R6c	MEDIUM	80	IL-7R lymphoid PMID:7935811
20642	IL2RG	Protein	20513	core	R6c	MEDIUM	80	γc subunit lymphoid
20643	IL7RA	Protein	20513	core	R6c	MEDIUM	80	IL-7Rα
20645	IFI27	Protein	20513	core	R6c	MEDIUM	75	ISG; Mavragani 2017 PMID:28604219 SjD signature
20649	IRF9	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20655	TLR3/dsRNA/PolyIC	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20658	ca2	Ion	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20659	CD27/CD70	Complex	20513	core	R6c	MEDIUM	75	CD27/CD70 axis lymphoid PMID:9596702
20660	CD70 homotrimer	Protein	20513	core	R6c	MEDIUM	75	CD70 activated lymphocyte
20665	EIF2AK2	Protein	20513	core	R6c	MEDIUM	75	PKR antiviral, Reactome:R-HSA-1834941
20666	TRIM25	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20667	FADD	Protein	20513	core	R6c	LOW	72	Death adaptor; ubiquitous
20668	SMAD2/SMAD3	Complex	20513	core	R6c	LOW	72	R-Smads
20669	SMAD3	Protein	20513	core	R6c	LOW	72	TGF-β downstream
20670	SMAD2	Protein	20513	core	R6c	LOW	72	TGF-β downstream
20671	RANKL/RANK	Complex	20513	core	R6c	MEDIUM	75	RANK/RANKL
20673	TNFRSF11A	Protein	20513	core	R6c	MEDIUM	78	RANK; PMID:9168116 osteoclast/myeloid
20674	TNFRSF13C	Protein	20513	core	R3	HIGH	95	HGNC:17755; BAFF-R (UniProt Q96RJ3)
20675	Calmodulin/Ca2+	Complex	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20676	CALM1	Protein	20513	core	R6c	LOW	70	Calmodulin
20677	ca2	Ion	20513	core	R6c	LOW	65	Calcium signal
20678	SOS2	Protein	20513	core	R6c	LOW	72	RAS GEF
20679	BAFF/BAFFR	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=5; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20681	TNFRSF13C	Protein	20513	core	R3	HIGH	95	HGNC:17755; BAFF-R (UniProt Q96RJ3)
20682	NFATC1,2,3	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20684	IFITM1	Protein	20513	core	R6c	MEDIUM	75	ISG; PMID:23354158
20685	MX2	Protein	20513	core	R6c	MEDIUM	75	ISG GTPase
20686	TNF/TNFR2	Complex	20513	core	R6c	MEDIUM	75	TNFR2 leukocyte
20687	TNFRSF1B	Protein	20513	core	R6c	MEDIUM	75	TNFR2 leukocyte-biased; PMID:8521391
20689	PRKC	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20690	SYK	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20692	STAT2	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20693	GBP3	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20694	IFI35	Protein	20513	core	R6c	MEDIUM	75	ISG; PMID:28604219
20695	MAX	Protein	20513	core	R6c	LOW	70	Myc partner
20696	RIPK1/TRAF2/TRAF5	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20697	RIPK1	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-2562578
20698	TANK	Protein	20513	core	R6c	LOW	70	TBK1 partner
20699	TRAF5	Protein	20513	core	R6c	LOW	72	TNFR adaptor
20700	SP100	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20701	TRAF6	Protein	20513	core	R6c	LOW	72	TLR/IL-1R adaptor
20702	IL1R1	Protein	20513	core	R6c	MEDIUM	78	IL-1R1; PMID:8120391
20703	sialic_acid/CD22	Complex	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20704	CD22	Protein	20513	core	R6c	MEDIUM	90	PanglaoDB B cell core; CellMarker2.0
20706	GBP2	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20708	IKBKE/TBK1	Complex	20513	core	R6c	MEDIUM	75	IKKε/TBK1 complex
20709	TBK1	Protein	20513	core	R6c	MEDIUM	75	Reactome:R-HSA-936964; ubiquitous innate
20710	IKBKE	Protein	20513	core	R6c	MEDIUM	75	IKKε/IRF3 axis; Reactome:R-HSA-936964
20711	DAG	Simple molecule	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20713	IKBIP	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20714	CHUK/IKBKB/IKBKG	Complex	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20715	CHUK	Protein	20513	core	R6c	MEDIUM	75	IKKα; KEGG:hsa04064
20716	IKBKB	Protein	20513	core	R6c	MEDIUM	75	IKKβ canonical NF-kB
20717	IKBKG	Protein	20513	core	R6c	MEDIUM	75	NEMO
20718	CD40	Protein	20513	core	R6c	MEDIUM	82	B+APC; PMID:8551252
20719	PLCB	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20721	PI(4,5)P2	Simple molecule	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20723	FAS	Protein	20513	core	R6c	MEDIUM	75	Fas ubiquitous; Reactome:R-HSA-75157
20725	TNFRSF1A	Protein	20513	core	R6c	MEDIUM	75	TNFR1 ubiquitous; HPA Uhlén 2015
20726	TAB1/TAB2/TAB3	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=3; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20727	TAB2	Protein	20513	core	R6c	LOW	70	TAK1 partner
20728	TAB3	Protein	20513	core	R6c	LOW	70	TAK1 partner
20729	TAB1	Protein	20513	core	R6c	LOW	70	TAK1 partner
20731	ca2	Ion	20730	core	R6c	LOW	65	Calcium signal
20732	ITPR3	Protein	20730	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20733	PIP3/IP3R	Complex	20730	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20734	PI(3,4,5)P3	Simple molecule	20730	core	R6c	LOW	70	Lipid signal
20735	ITPR3	Protein	20730	core	R6c	LOW	70	IP3R
20740	MAP2K6	Protein	20513	core	R6c	MEDIUM	75	MKK6 p38
20741	CD70 homotrimer	Protein	20513	core	R6c	MEDIUM	75	CD70 activated lymphocyte
20742	LTA/TNFR2	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20743	TNFRSF1B	Protein	20513	core	R6c	MEDIUM	75	TNFR2 leukocyte-biased; PMID:8521391
20745	CARD11/BCL10/MALT1	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20746	CARD11	Protein	20513	core	R6c	MEDIUM	82	CBM signalosome; PMID:14684827 lymphoid
20747	BCL10	Protein	20513	core	R6c	MEDIUM	80	CBM signalosome PMID:14684827
20748	MALT1	Protein	20513	core	R6c	MEDIUM	80	CBM signalosome
20749	JAK2	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20750	DUSP5	Protein	20513	core	R6c	LOW	70	MAPK phosphatase
20751	OASL	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20752	PTPN6	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=7; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20756	BTK	Protein	20513	core	R3	HIGH	95	HGNC:1133; UniProt Q06187; KEGG:hsa04662 BCR
20757	HLA-DRA	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20758	LILRA3	Protein	20513	core	R6	LOW	25	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20762	PTK2	Protein	20513	core	R6c	LOW	70	FAK ubiquitous
20763	MAP2K7	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20764	XIAP	Protein	20513	core	R6c	LOW	70	X-IAP
20766	GORAB	Protein	20513	core	R6c	LOW	70	Golgi
20767	GBP5	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20768	CHUK/IKBKB/IKBKG	Complex	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20769	CHUK	Protein	20513	core	R6c	MEDIUM	75	IKKα; KEGG:hsa04064
20770	IKBKB	Protein	20513	core	R6c	MEDIUM	75	IKKβ canonical NF-kB
20771	IKBKG	Protein	20513	core	R6c	MEDIUM	75	NEMO
20772	MAPK3	Protein	20513	core	R6c	MEDIUM	75	ERK1; ubiquitous
20773	PTPRC	Protein	20513	core	R6c	MEDIUM	88	CD45 pan-leukocyte; CellMarker2.0
20774	JAK1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20775	JAK3	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20776	SHC1	Protein	20513	core	R6c	LOW	72	Adaptor ubiquitous
20777	RAC1	Protein	20513	core	R6c	LOW	72	Rho GTPase
20778	SRC	Protein	20513	core	R6c	LOW	72	Tyrosine kinase ubiquitous
20779	NCAM1	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20780	EIF2AK2 homodimer	Protein	20513	core	R6c	MEDIUM	75	PKR antiviral
20781	TGF/TGFBR1	Complex	20513	core	R6c	LOW	70	TGF-β/TGFBR1
20783	TGFBR1	Protein	20513	core	R6c	MEDIUM	75	Ubiquitous
20784	IRF5	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20786	IL15R	Complex	20513	core	R6c	MEDIUM	75	IL-15R
20789	IL2RG	Protein	20513	core	R6c	MEDIUM	80	γc subunit lymphoid
20790	RRAS	Protein	20513	core	R6c	LOW	70	Ras family
20791	Ag/IgG/FCGR1A	Complex	20513	core	R5	LOW	50	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20795	CXCR4	Protein	20513	core	R6c	LOW	72	Ubiquitous SDF-1R
20796	TARBP2	Protein	20513	core	R6c	LOW	70	PKR partner
20797	TIRAP	Protein	20513	core	R6c	MEDIUM	75	TLR2/4 adaptor; PMID:11544529
20798	PML	Protein	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20800	TRAF6	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20804	RAF	Protein	20513	core	R6c	LOW	72	MAPK kinase
20805	GNAI	Protein	20513	core	R6c	LOW	70	Gαi ubiquitous
20806	TRAF3	Protein	20513	core	R6c	LOW	72	TNFR/TLR adaptor
20808	DAXX	Protein	20513	core	R6c	LOW	70	Death-associated
20809	CASP8	Protein	20513	core	R6c	MEDIUM	75	Initiator caspase extrinsic
20816	IL12/IL12R	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20820	STAT5A/B	Protein	20513	core	R6c	MEDIUM	78	KEGG:hsa04630
20822	PTPN2	Protein	20513	core	R6c	MEDIUM	75	TC-PTP ubiquitous PMID:21646515
20826	BAD	Protein	20513	core	R6c	LOW	72	Pro-apoptotic
20827	CD22	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20828	RIPK1	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-2562578
20832	FAS	Protein	20513	core	R6c	MEDIUM	75	Fas ubiquitous; Reactome:R-HSA-75157
20833	ADAR1 homodimer	Protein	20513	core	R6c	MEDIUM	75	PMID:30401873 ADAR1 ISG
20834	SYK	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20835	MAP3K7	Protein	20513	core	R6c	MEDIUM	75	TAK1 TLR/IL-1R; PMID:10882101
20836	NFKB2/RELB	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20837	RELB	Protein	20513	core	R6c	MEDIUM	78	Non-canonical NFkB
20838	NFKB2	Protein	20513	core	R6c	MEDIUM	78	p52; non-canonical NF-kB
20840	ISG20	Protein	20513	core	R6c	MEDIUM	75	ISG, antiviral exonuclease PMID:23394386
20841	HDAC3	Protein	20513	core	R6c	LOW	70	Histone deacetylase
20842	TAB1/TAB2/TAB3	Complex	20513	core	R6c	LOW	70	TAK1/TAB complex
20843	TAB2	Protein	20513	core	R6c	LOW	70	TAK1 partner
20844	TAB3	Protein	20513	core	R6c	LOW	70	TAK1 partner
20845	TAB1	Protein	20513	core	R6c	LOW	70	TAK1 partner
20854	IRF5	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20855	CCR6	Protein	20513	core	R6c	MEDIUM	85	PMID:18172165 Th17 chemotaxis
20856	PLCG	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=9; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20858	RAF	Protein	20513	core	R6c	LOW	72	MAPK kinase
20859	TIRAP	Protein	20513	core	R6c	MEDIUM	75	TLR2/4 adaptor; PMID:11544529
20860	BAD	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20861	TYK2	Protein	20513	core	R6c	MEDIUM	75	Reactome:R-HSA-909733; ubiquitous
20866	MAPK8,9,10	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20872	RIPK3	Protein	20513	core	R6c	LOW	70	Necroptosis
20873	CCL20/CCR6	Complex	20513	core	R6c	MEDIUM	80	Th17/B
20875	CCR6	Protein	20513	core	R6c	MEDIUM	85	PMID:18172165 Th17 chemotaxis
20876	IFI6	Protein	20513	core	R6c	MEDIUM	75	ISG; PMID:28604219 SjD signature
20877	ARF1	Protein	20513	core	R6c	LOW	70	Trafficking ubiquitous
20878	PI3K	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20879	EIF2AK2 homodimer	Protein	20513	core	R6c	MEDIUM	75	PKR antiviral
20883	TICAM2	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20884	PRMT5	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20885	MAPK3	Protein	20513	core	R6c	MEDIUM	75	ERK1; ubiquitous
20886	SOCS2	Protein	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=4; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20888	IFITM2	Protein	20513	core	R6c	MEDIUM	75	ISG; PMID:23354158
20899	IFIT5	Protein	20513	core	R6c	MEDIUM	75	ISG; PMID:28604219
20901	CASP7	Protein	20513	core	R6c	MEDIUM	75	Executioner caspase
20902	ISG15	Protein	20513	core	R6c	MEDIUM	75	Reactome:R-HSA-1169408 ISGylation
20906	SMAD4	Protein	20513	core	R6c	LOW	72	TGF-β/BMP downstream
20907	TLR10L/TLR10	Complex	20513	core	R6c	LOW	70	TLR10 B/myeloid
20909	TLR10	Protein	20513	core	R6c	MEDIUM	75	InnateDB; PMID:14751764 B-cell biased
20911	IFNGR	Complex	20513	core	R4	MEDIUM	65	Reactome:R-HSA-877300 via MINERVA notes
20912	IFNGR1	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015; Reactome:R-HSA-877312
20913	IFNGR2	Protein	20513	core	R6c	MEDIUM	75	HPA Uhlén 2015; Reactome:R-HSA-877312
20914	RCAN	Protein	20513	core	R4	MEDIUM	80	Reactome:R-HSA-983705 via MINERVA notes
20915	RIPK1/TRAF2/TRAF5	Complex	20513	core	R6c	LOW	72	TNFR1 complex I
20916	RIPK1	Protein	20513	core	R6c	LOW	72	Reactome:R-HSA-2562578
20917	TANK	Protein	20513	core	R6c	LOW	70	TBK1 partner
20918	TRAF5	Protein	20513	core	R6c	LOW	72	TNFR adaptor
20919	MHC1/B2M/LILR	Complex	20513	core	R5	LOW	53	graph propagation on SjD Map (this work); neighbors_vote=2; InnateDB:innatedb.com Breuer 2013 PMID:23180781; STRING db v12
20922	LILRA3	Protein	20513	core	R6	LOW	15	default intracellular signaling fallback (InnateDB Breuer 2013 PMID:23180781; STRING Szklarczyk 2023 PMID:36370105); compartment=20513; HPA Uhlén 2015 PMID:25613900 (ubiquitous expression)
20923	RIPK3	Protein	20513	core	R6c	LOW	70	Necroptosis
20924	CHUK/CHUK	Complex	20513	core	R6c	MEDIUM	75	IKKα homodimer
20925	CHUK	Protein	20513	core	R6c	MEDIUM	75	IKKα; KEGG:hsa04064
20926	CHUK	Protein	20513	core	R6c	MEDIUM	75	IKKα; KEGG:hsa04064
20928	IFIT2	Protein	20513	core	R6c	MEDIUM	75	ISG; Reactome:R-HSA-936964
